"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"1",18.9492779224561,19.3072443478543,19.2169924484256,19.1496926571855,19.4600797068963,19.3359623679463,19.2406979069817,19.7977281027889,19.613469639895,19.4612278137899,21.4462871790898,19.8987270020908,19.8500221779174,20.3202805561367,20.788034307205,21.1341738006021
"2",19.5289236179267,20.0515796979073,19.9361928486488,19.8451659971333,20.2163045505589,20.0747771636758,19.9588174872382,20.5244544222775,20.3499818245439,20.1954326537893,21.7412230640327,20.6909989723682,20.6152541941196,20.9267754748696,21.2342278789646,21.4810898377402
"3",19.5682387789713,19.7985615868734,19.736446310033,19.6914712832924,19.9147688748132,19.8232045357067,19.7554262190881,20.1988120136855,20.0455120854891,19.9244329786522,21.9011587699814,20.2447532761727,20.2214384809433,20.6954401353021,21.1988780611373,21.5802838361673
"4",19.7799196049664,19.9748614093004,19.9227848432701,19.8847094118303,20.0719204711266,19.9963079389909,19.9394125856185,20.2995843633963,20.179327805424,20.0813440482325,21.3985306702026,20.3286517140235,20.3139917726738,20.6626345023794,20.9870300604086,21.2072195396116
"5",19.7596553079367,19.8853150120162,19.8497980267129,19.8244908251067,19.9573039054773,19.9023824541304,19.8624032565709,20.1427858666204,20.0447453958366,19.9684399663385,21.2840295639844,20.1477686866961,20.1444809669632,20.4795616982223,20.8271850642681,21.0796584581202
"6",20.2392832399885,20.4283014655946,20.3817246164577,20.3465327816833,20.5054638079754,20.4428800501416,20.3939691470117,20.668957618284,20.5806793555844,20.5057704856639,21.3619592276516,20.7174411631047,20.6942879123116,20.9050341382143,21.0995933387406,21.2354034861452
"7",18.2810994823591,18.6467094320583,18.5530683317875,18.4838362089565,18.8081290693139,18.6772241108443,18.5779097506507,19.1751546656028,18.9739396962696,18.81049095242,21.1441034258585,19.2818568699038,19.2299667360955,19.7699587871082,20.3331543639741,20.7651474256968
"8",20.422513277013,20.6961736179088,20.6309917135157,20.5809703611653,20.7998170103123,20.7148854885356,20.6472433989764,21.0096712337808,20.8960711306461,20.7975062344438,21.8281993519358,21.0809776748502,21.047412090257,21.2968861053179,21.5215733327823,21.6772940796287
"9",19.7004300840342,19.8602867338679,19.8157899479262,19.7838389721714,19.9484781651288,19.8809296268594,19.8312356091488,20.1688968696541,20.0527885180162,19.9609255387761,21.3931469519887,20.1798556259644,20.1736441624855,20.5500742378736,20.9209127665565,21.1802440297091
"10",19.5674418716055,19.8967888166121,19.8156682892659,19.7544508796504,20.0305496900969,19.9215163705827,19.8365139263312,20.3151457456816,20.1604382976591,20.0298616733022,21.5669505482464,20.4052255127141,20.3622327859381,20.7321220803585,21.0832154475622,21.3347605301425
"11",19.4025416815374,19.6467846724847,19.5833986282929,19.5366327050472,19.7592338081703,19.6696280220002,19.6016377382875,20.0162388039554,19.8779480617281,19.764837456899,21.2894121626651,20.0723058286543,20.0447733614156,20.423837326303,20.7931623385589,21.0571595474653
"12",19.6829319631965,19.8550233665786,19.8072713827867,19.7729753871098,19.9490664035998,19.8767343083579,19.8235553790697,20.1843952851837,20.059865847624,19.9616290928694,21.5293474076928,20.1995796966722,20.191236482724,20.5953244804129,21.0015951063823,21.2910263981741
"13",20.0228761572125,20.2768085394256,20.2136221051841,20.1662379775936,20.3818279117938,20.296021205973,20.2297169694624,20.6097049081921,20.4849539229262,20.3810850330409,21.6911439392352,20.6839009025816,20.6483539319986,20.9556040503734,21.2598580372822,21.4856269085298
"14",19.0270170434986,19.5060720973327,19.3918729362999,19.3047168567809,19.6846358965263,19.5354829764716,19.4178849220962,20.0514255640947,19.8474967730767,19.674143008422,21.6959723952983,20.2063142765521,20.1336336368158,20.5801338857853,21.0255870745968,21.3681215475555
"15",18.6815455648653,19.0299793076135,18.9373531971177,18.8696965716424,19.2004161674702,19.0662206719165,18.9656081974461,19.6032855552659,19.3877099440646,19.2138258933031,21.7110059044126,19.6699150871287,19.6365078452416,20.2661502925179,20.8878001635114,21.3320522415605
"16",21.0784191758304,21.1562892763427,21.1370296907053,21.1225215697273,21.1881846114468,21.1622078749633,21.1420012738466,21.2564050442832,21.219315588245,21.1880971721928,21.5601303293529,21.2777334189206,21.267541458337,21.3570237482532,21.4422431859132,21.503271345716
