"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"13",36487.0063660644,37913.439491483,37566.8579427768,37306.79832436,38487.091739001,38016.425854109,37652.5401169119,39736.1875108833,39051.7677449737,38481.6765818547,45668.3929125181,40145.3400781595,39948.2936966479,41636.6792316877,43322.0879250407,44601.211383347
"14",31510.6629536012,34375.8220983923,33701.9597421766,33187.5371295243,35427.0667059841,34546.9108760098,33852.7941047069,37590.6003521157,36387.0149787467,35363.6869222963,47298.1111357769,38507.1654555532,38076.0613387898,40713.6824186176,43357.9865888789,45417.7878397661
"15",25079.6184786711,26840.6251666539,26379.8455533256,26043.1018058995,27686.0574779751,27018.5341869592,26517.8333702071,29689.0452661207,28616.7083184835,27751.4674266965,40169.6725794957,30022.5338950258,29854.3207548178,32988.9925542042,36097.8652095316,38349.8955708855
"16",41997.8807030414,42303.8601183686,42236.8062373032,42186.1272135643,42412.6342223393,42322.1772070761,42251.6041860625,42649.6161183904,42520.291656045,42411.1922518894,43706.5949009958,42725.4540972599,42688.1342543883,43003.7670648959,43318.7280436543,43574.7064751015
"17",32955.4346960488,34532.118761467,34124.7418426392,33825.9459753944,35266.3708559067,34682.1202251841,34242.2385360385,36986.9974680095,36060.7911204667,35311.2389745907,45978.5568617483,37326.2908314973,37156.8736442336,39803.0464850301,42453.5119221968,44401.9694608591
"18",34566.9408886698,36323.9127991423,35869.1229678536,35534.3035220169,37151.7540197925,36501.1957857382,36007.6624316195,39058.8321097753,38049.4809139711,37219.0367483683,47901.3819422474,39353.5647179011,39205.7155467824,42032.6307411532,44647.5812650194,46448.9881531243
"19",31054.2064321905,32461.3254883084,32084.4829098627,31811.263766635,33184.2747584765,32624.6942841737,32208.0382324219,34938.2567735868,34013.9868687056,33270.8614405347,43920.3585038957,35089.2280093813,35009.0521884516,37844.8281936441,40554.472110906,42442.1292852565
"20",24183.5490136983,26598.2586916488,25995.8762538609,25547.3691260579,27617.5010912933,26786.6966200575,26150.5976806314,29887.8441189,28644.71137273,27622.0719582597,41297.714100096,30580.8829976988,30245.2307060186,33450.6248292353,36707.8488659186,39181.8393635399
"21",43001.7569406267,44652.2140592263,44273.2080652747,43981.2615685209,45241.1505425538,44751.6590462392,44360.6318446063,46427.0832256414,45777.6980258302,45214.2396886035,51164.0024827726,46882.0291257507,46667.9367698963,48058.8063502811,49364.9197916747,50333.7921409658
"22",29079.0135481691,30983.0087290007,30488.935628872,30126.0544544539,31880.1285416408,31171.5795474581,30636.3722191705,33967.1274189823,32853.9261166562,31945.9624288352,44227.6019219795,34325.4908795195,34145.987336115,37303.7443902924,40337.3866159702,42486.1841104504
"23",24005.4203536442,26996.3381023003,26243.4475345101,25683.6361018906,28288.3115984799,27244.069937273,26444.9937317542,31176.5468742464,29608.4096566363,28315.6543688193,45257.1286004773,31960.3851728314,31579.1135724895,35677.5869898537,39727.8117674369,42710.2730197817
"24",45899.8593944479,46157.5740030841,46099.0088357107,46055.5581310986,46257.0454977343,46174.9468459693,46112.396531571,46487.6265236576,46361.5466399719,46258.44454372,47680.2253082055,46550.8798984766,46519.0675693662,46860.8905481241,47219.0746967679,47512.2175090628
"25",29823.3000744438,33296.2448880488,32495.4023023055,31876.1415255461,34531.5610650831,33505.0436326022,32681.0676105677,36985.9879902754,35642.6348210627,34470.1623977979,46560.7622856868,37944.0840807366,37495.9909177146,40309.2077190723,42913.0757408481,44807.0288449199
"26",39650.9906777292,40852.7067368121,40568.12849888,40353.2450670202,41306.4885950263,40926.980537069,40631.8409885725,42274.5089353111,41734.6033246534,41283.8707247071,47018.0721234568,42669.9592070227,42481.8128131698,43740.0341003164,45050.2939834523,46103.7983047188
"27",46757.8095215845,47715.6881148509,47498.6214701853,47331.7256742161,48053.572476373,47772.0927012316,47547.7897186324,48740.0389941934,48363.7086166937,48038.2548131474,51525.548364597,49002.5980948455,48878.3811044797,49694.679259368,50471.9923939152,51062.7736418655
"28",35487.2238199259,36815.5103202965,36491.0354324246,36248.271128095,37357.163892829,36913.7428915575,36572.1459032068,38547.9041412215,37896.0026195566,37355.3570057353,44307.1900684722,38925.0904274898,38742.8078087024,40380.0255539733,42022.8105792125,43271.5246788642
