"Levensverwachting; geslacht, leeftijd (per jaar en periode van vijf jaren)"
""
"";""
"";"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"";"Onderwerp";"Sterftekans";"Levenden (tafelbevolking) ";"Overledenen (tafelbevolking) ";"Levensverwachting"
"Leeftijd (op 31 december)";"Perioden";"kans";"aantal";"aantal";"jaar "
"89 jaar";"2021";"0,13821";"31818";"4398";"4,51"
"90 jaar";"2021";"0,15598";"27420";"4277";"4,15"
"91 jaar";"2021";"0,17172";"23143";"3974";"3,82"
"92 jaar";"2021";"0,19633";"19169";"3763";"3,51"
"93 jaar";"2021";"0,21290";"15406";"3280";"3,25"
"94 jaar";"2021";"0,24073";"12126";"2919";"2,99"
"95 jaar";"2021";"0,25672";"9207";"2364";"2,78"
"96 jaar";"2021";"0,28279";"6843";"1935";"2,57"
"97 jaar";"2021";"0,31431";"4908";"1543";"2,38"
"98 jaar";"2021";"0,33460";"3365";"1126";"2,24"
"99 jaar of ouder";"2021";"0,38162";"2239";"854";"2,12"
"Bron: CBS"
